,company,date,title,content
0,By Investing.com,"<span>Sep 05, 2012 03:50PM ET</span>",Natural gas plunges on weather forecasts,
1,By Investing.com,"<span>Sep 05, 2012 03:37PM ET</span>",Gold moves lower as ECB speculation triggers risk on trade,
2,By Investing.com,"<span>Sep 05, 2012 12:40PM ET</span>",Crude oil rallies on reported ECB bond buying proposal,
3,By Investing.com,"<span>Sep 05, 2012 10:43AM ET</span>","Natural gas pulls back from 4-week high with weather, supply in focus",
4,By Investing.com,"<span>Sep 05, 2012 10:09AM ET</span>",Crude oil futures extend losses with ECB meeting in focus,
5,By Investing.com,"<span>Sep 05, 2012 09:09AM ET</span>",Gold trims losses to trade little changed after ECB bond report,
6,By Investing.com,"<span>Sep 05, 2012 07:49AM ET</span>",Softs - Sugar falls to fresh 3-month low as Brazil harvest progresses,
7,By Investing.com,"<span>Sep 05, 2012 06:02AM ET</span>","Grains - Soybeans ease off record high, U.S. crop conditions support",
8,By Investing.com,"<span>Sep 05, 2012 05:19AM ET</span>",Copper futures decline as markets turn jittery ahead of ECB,
9,By Investing.com,"<span>Sep 05, 2012 03:43AM ET</span>",Crude oil declines as global growth concerns weigh ahead of ECB,
10,By Investing.com,"<span>Sep 05, 2012 03:24AM ET</span>",Gold futures ease off 6-month high ahead of ECB,
11,By Investing.com,"<span>Sep 04, 2012 08:11PM ET</span>",Gold cools rally stemming from soft U.S. manufacturing data,
12,By Investing.com,"<span>Sep 04, 2012 07:43PM ET</span>",Crude erases losses stemming from weak U.S. manufacturing data,
13,By Investing.com,"<span>Sep 04, 2012 03:53PM ET</span>",Natural gas spikes on storm fears,
14,By Investing.com,"<span>Sep 04, 2012 03:45PM ET</span>",Crude falls on weak ISM numbers,
15,By Investing.com,"<span>Sep 04, 2012 12:33PM ET</span>",Gold surges on stimulus hopes,
16,By Investing.com,"<span>Sep 04, 2012 10:43AM ET</span>",Natural gas futures rally to 4-week high with storm activity in focus,
17,By Investing.com,"<span>Sep 04, 2012 10:10AM ET</span>",Gold futures rally to session high after weak ISM data,
18,By Investing.com,"<span>Sep 04, 2012 09:05AM ET</span>","Crude oil futures trim gains ahead of ISM, stimulus hopes support",
19,By Investing.com,"<span>Sep 04, 2012 08:02AM ET</span>","Softs - Sugar consolidates above 3-month low, Brazil harvest in focus",
20,By Investing.com,"<span>Sep 04, 2012 05:38AM ET</span>",Grains - Soybeans rally to record high ahead of USDA crop report,
21,By Investing.com,"<span>Sep 04, 2012 05:12AM ET</span>","Copper advances amid ongoing hopes for ECB, Fed stimulus",
22,By Investing.com,"<span>Sep 04, 2012 03:40AM ET</span>",Crude oil futures rise to 1-week high on ECB hopes,
23,By Investing.com,"<span>Sep 04, 2012 03:24AM ET</span>","Gold hits 5-1/2-month high, silver rallies 2% on stimulus hopes",
24,By Investing.com,"<span>Sep 03, 2012 09:01PM ET</span>",Gold extends rally on growing expectations for U.S. stimulus,
25,By Investing.com,"<span>Sep 03, 2012 08:22PM ET</span>",Crude rises as talk of Chinese and U.S. stimulus builds,
26,By Investing.com,"<span>Sep 03, 2012 03:45PM ET</span>",Gold futures higher during the U.S. session,
27,By Investing.com,"<span>Sep 03, 2012 03:10PM ET</span>",Natural gas futures lower in U.S. trade,
28,By Investing.com,"<span>Sep 03, 2012 10:43AM ET</span>","Natural gas futures ease off 1-week high in thin, holiday trade",
29,By Investing.com,"<span>Sep 03, 2012 09:53AM ET</span>",Crude oil dips as growth worries counter stimulus hopes,
30,By Investing.com,"<span>Sep 03, 2012 09:10AM ET</span>",Gold rises in holiday-thinned trade with central banks in focus,
31,By Investing.com,"<span>Sep 03, 2012 05:58AM ET</span>","Copper climbs to 1-week high on China, Fed easing hopes",
32,By Investing.com,"<span>Sep 03, 2012 03:45AM ET</span>",Crude oil futures edge lower as global growth concerns weigh,
33,By Investing.com,"<span>Sep 03, 2012 03:25AM ET</span>","Gold trades at 5-month high on China, Fed stimulus hopes",
34,By Investing.com,"<span>Sep 02, 2012 07:56PM ET</span>",Gold extends gains on building expectations for U.S. stimulus,
35,By Investing.com,"<span>Sep 02, 2012 07:31PM ET</span>",Crude extends gains on Fed hints at willingness to jolt U.S. economy,
36,By Investing.com,"<span>Sep 02, 2012 10:34AM ET</span>",Natural gas futures - Weekly outlook: September 3 - 7,
37,By Investing.com,"<span>Sep 02, 2012 09:36AM ET</span>",Grain futures - Weekly outlook: September 3 - 7,
38,By Investing.com,"<span>Sep 02, 2012 06:49AM ET</span>",Crude oil futures - Weekly outlook: September 3 - 7,
39,By Investing.com,"<span>Sep 02, 2012 06:00AM ET</span>",Gold futures - Weekly outlook: September 3 - 7,
40,By Investing.com,"<span>Aug 31, 2012 02:19PM ET</span>",Crude soars as Bernanke hints at willingness to move on U.S. economy,
41,By Investing.com,"<span>Aug 31, 2012 10:59AM ET</span>",Gold shoots up as Federal Reserve chief won't rule out stimulus,
42,By Investing.com,"<span>Aug 31, 2012 03:01AM ET</span>","Crude oil edges higher, eyes on Jackson Hole",
43,By Investing.com,"<span>Aug 31, 2012 01:25AM ET</span>",Gold futures lower in Asian trade,
44,By Investing.com,"<span>Aug 30, 2012 11:00PM ET</span>",Crude oil futures lower in Asian trading hours,
45,By Investing.com,"<span>Aug 30, 2012 02:00PM ET</span>","Crude falls on hopes Isaac spared Gulf of Mexico rigs, refineries",
46,By Investing.com,"<span>Aug 30, 2012 10:50AM ET</span>",Natural gas futures rise 1% after U.S. supply data,
47,By Investing.com,"<span>Aug 30, 2012 10:04AM ET</span>",Crude oil edges lower in rangebound trade ahead of Jackson Hole,
48,By Investing.com,"<span>Aug 30, 2012 09:04AM ET</span>","Gold hits session high after U.S. data, Bernanke speech eyed",
49,By Investing.com,"<span>Aug 30, 2012 07:56AM ET</span>","Softs - Sugar, coffee advance despite Brazil crop progress",
50,By Investing.com,"<span>Aug 30, 2012 06:15AM ET</span>",Grains mixed ahead of USDA export data; wheat up on Russia fears,
51,By Investing.com,"<span>Aug 30, 2012 05:29AM ET</span>","Copper holds gains after Italian bond sale, Wen comments support",
52,By Investing.com,"<span>Aug 30, 2012 03:42AM ET</span>",Crude oil trades near 2-week low as Isaac impact limited,
53,By Investing.com,"<span>Aug 30, 2012 03:30AM ET</span>",Gold edges lower in rangebound trade ahead of Bernanke,
54,By Investing.com,"<span>Aug 29, 2012 07:48PM ET</span>","Gold drops on upward U.S. GDP revision, solid housing data",
55,By Investing.com,"<span>Aug 29, 2012 07:26PM ET</span>","Crude falls on rising stockpiles, waning threat from Isaac",
56,By Investing.com,"<span>Aug 29, 2012 10:44AM ET</span>",Crude oil falls to session low after U.S. supply increase,
57,By Investing.com,"<span>Aug 29, 2012 10:10AM ET</span>",Natural gas trades close to 8-week low as Isaac fears ease,
58,By Investing.com,"<span>Aug 29, 2012 09:23AM ET</span>",Gold futures little changed after U.S. GDP data,
59,By Investing.com,"<span>Aug 29, 2012 07:45AM ET</span>","Softs - sugar regains strength, coffee higher with Brazil crops in focus",
60,By Investing.com,"<span>Aug 29, 2012 06:12AM ET</span>",Grains rally in early trade; wheat jumps on Russia supply fears,
61,By Investing.com,"<span>Aug 29, 2012 05:23AM ET</span>","Copper remains lower after Italian bond sale, Jackson Hole in focus",
62,By Investing.com,"<span>Aug 29, 2012 03:40AM ET</span>","Crude oil declines ahead of U.S. supply data, Isaac in focus",
63,By Investing.com,"<span>Aug 29, 2012 03:23AM ET</span>","Gold futures steady below 4-1/2 month high with Fed, ECB in focus",
64,By Investing.com,"<span>Aug 28, 2012 09:20PM ET</span>",Gold drops as solid housing data fuels hope for strong U.S. GDP data,
65,By Investing.com,"<span>Aug 28, 2012 08:41PM ET</span>",Crude falls as Hurricane Isaac makes landfall on Gulf of Mexico coast,
66,By Investing.com,"<span>Aug 28, 2012 03:37PM ET</span>",Crude gains as Hurricane Isaac approaches Gulf of Mexico coast,
67,By Investing.com,"<span>Aug 28, 2012 09:29AM ET</span>",Natural gas futures bounce off 8-week low on Isaac concerns,
68,By Investing.com,"<span>Aug 28, 2012 09:11AM ET</span>",Gold futures decline as markets focus on Jackson Hole meeting,
69,By Investing.com,"<span>Aug 28, 2012 09:02AM ET</span>",Crude oil edges higher as Isaac on verge of becoming hurricane,
